precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”LUMINIŞUL PĂDURII” (FOSTĂ GRĂDINIŢĂ NR. 6)",15,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:17:38",1574,1568,2,4,0,664,660,0,4,0,635,29,1700,1036,284,68,166,9,22,86
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”LUMINIŞUL PĂDURII” (FOSTĂ GRĂDINIŢĂ NR. 6)",14,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:11:58",1304,1293,1,10,0,567,557,0,10,0,542,25,1400,833,203,63,141,16,8,111
3,ARGEŞ,"GRĂDINIŢA CU PROGRAM PRELUNGIT ” MICUL PRINŢ” (FOSTA GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 13",9,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:09:39",2113,2106,0,7,0,904,897,0,7,0,887,17,2300,1396,322,113,225,14,16,197
3,ARGEŞ,"LICEUL TEHNOLOGIC ” CONSTANTIN BRÂNCUŞI” ( FOST LICEU TEHNOLOGIC DE INDUSTRIALIZAREA LEMNULUI)",82,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:05:48",1551,1547,0,4,0,653,649,0,4,0,633,20,1800,1147,238,52,179,17,20,127
3,ARGEŞ,"LICEUL TEHNOLOGIC ” CONSTANTIN BRÂNCUŞI” ( FOST LICEU TEHNOLOGIC DE INDUSTRIALIZAREA LEMNULUI)",81,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:54:54",1540,1537,0,3,0,641,638,0,3,0,624,17,1700,1059,247,59,153,13,12,140
3,ARGEŞ,"LICEUL TEHNOLOGIC ”DACIA” (FOST GRUP ŞCOLAR INDUSTRIAL CONSTRUCŢII MAŞINI)",16,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:39:36",1431,1417,5,9,0,646,637,0,9,0,618,28,1590,944,220,56,163,15,15,149
3,ARGEŞ,"LICEUL TEORETIC ”ION CANTACUZINIO”",33,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:28:50",1819,1810,0,8,1,818,809,0,8,1,784,34,2000,1182,280,114,185,14,27,164
3,ARGEŞ,"LICEUL TEORETIC ”ION CANTACUZINIO”",32,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:05:49",1702,1694,0,8,0,666,658,0,8,0,647,19,2000,1334,226,80,181,11,17,132
3,ARGEŞ,"LICEUL TEORETIC ” ION CANTACUZINO”",34,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:49:21",1636,1631,0,5,0,598,593,0,5,0,567,31,1826,1228,230,86,136,15,19,81
3,ARGEŞ,"LICEUL TEORETIC ”ION CANTACUZINO” (INTRAREA D)",35,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:55:46",1570,1557,2,7,4,661,649,1,7,4,642,19,1700,1039,269,78,151,14,17,113
3,ARGEŞ,"SC APĂ CANAL 2000 SA",30,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:30:09",2065,2053,3,9,0,799,790,0,9,0,771,27,2300,1502,272,135,229,19,19,97
3,ARGEŞ,"SC APĂ CANAL 2000 SA",29,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:45:58",1832,1822,1,9,0,752,743,0,9,0,715,28,2000,1257,240,96,201,10,19,149
3,ARGEŞ,"S.C. LISA DRAXLMAIER S.A.",31,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:57:32",1713,1701,3,9,0,700,691,0,9,0,682,15,1900,1188,231,85,186,14,24,142
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”ADRIAN PĂUNESCU” (FOSTĂ ŞCOALA NR. 15 )",28,"MUNICIPIUL PITEŞTI",13169,1,PART,PRCNCT,CL,CL_SV,"2024-06-11 12:38:18",1657,1648,1,8,0,644,636,0,8,0,609,35,1900,1256,209,107,162,13,18,100
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ ”ADRIAN PĂUNESCU” (FOSTĂ ŞCOALA NR. 15 )",27,"MUNICIPIUL PITEŞTI",13169,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:19:49",1603,1598,0,5,0,601,596,0,5,0,573,28,1800,1199,208,91,140,15,26,93
