precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POPOVICI DĂNUŢ-IONEL-PARTIDUL NAȚIONAL LIBERAL-voturi","OANĂ DĂNUŢ-PARTIDUL SOCIAL DEMOCRAT-voturi"
11,CARAŞ-SEVERIN,"ŞCOALA GIMNAZIALĂ TIROL",233,DOCLIN,52650,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:53:30",553,511,3,15,24,259,218,2,15,24,251,8,568,309,125,126
11,CARAŞ-SEVERIN,"ŞCOALA PRIMARĂ BINIŞ",232,DOCLIN,52650,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:03:32",676,602,1,26,47,422,349,0,26,47,408,14,659,237,223,185
11,CARAŞ-SEVERIN,"ŞCOALA PRIMARĂ DOCLIN",231,DOCLIN,52650,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:17:27",482,412,0,59,11,335,265,0,59,11,329,6,453,116,80,249
