precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MĂLĂIESCU LUCA-PARTIDUL SOCIAL DEMOCRAT-voturi","ENACHE DARIUS-EDGAR-PARTIDUL NAȚIONAL LIBERAL-voturi","CHIRIACESCU SEBASTIAN-ANIEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL CIREȘA",155,"ORAŞ OŢELU ROŞU",51207,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:33:43",652,641,0,0,11,323,312,0,0,11,317,6,707,384,237,43,37
11,CARAŞ-SEVERIN,"CĂMINUL CULTURAL MAL",156,"ORAŞ OŢELU ROŞU",51207,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:10:35",299,287,2,9,1,203,193,0,9,1,199,4,318,115,180,15,4
11,CARAŞ-SEVERIN,"CANTINA DE AJUTOR SOCIAL",149,"ORAŞ OŢELU ROŞU",51207,3,PART,PRCNCT,P,P_SV,"2024-06-10 09:09:54",885,831,0,16,38,406,352,0,16,38,390,16,916,510,251,67,72
11,CARAŞ-SEVERIN,"CASA DE CULTURĂ",145,"ORAŞ OŢELU ROŞU",51207,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:26:00",887,875,0,9,3,341,329,0,9,3,323,18,967,626,212,42,69
11,CARAŞ-SEVERIN,"CASA DE CULTURĂ",146,"ORAŞ OŢELU ROŞU",51207,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:16:04",704,699,0,5,0,291,286,0,5,0,278,13,773,482,215,33,30
11,CARAŞ-SEVERIN,"GRĂDINIŢA CU PROGRAM NORMAL GAI",151,"ORAŞ OŢELU ROŞU",51207,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:08:24",1123,1114,2,2,5,483,475,1,2,5,466,17,1230,747,323,68,75
11,CARAŞ-SEVERIN,"GRĂDINIȚA CU PROGRAM NORMAL NR.2",150,"ORAŞ OŢELU ROŞU",51207,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:19:48",1132,1121,3,1,7,511,503,0,1,7,494,17,1245,734,329,84,81
11,CARAŞ-SEVERIN,"GRĂDINIŢA CU PROGRAM NORMAL VALEA OHĂBII",152,"ORAŞ OŢELU ROŞU",51207,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:01:47",532,520,1,7,4,250,239,0,7,4,240,10,573,323,145,62,33
11,CARAŞ-SEVERIN,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 3",148,"ORAŞ OŢELU ROŞU",51207,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:08:44",1050,1036,2,10,2,394,381,1,10,2,383,11,1139,745,263,56,64
11,CARAŞ-SEVERIN,"ȘCOALA GIMNAZIALĂ NR.1 OȚELU ROȘU - SALA DE SPORT",153,"ORAŞ OŢELU ROŞU",51207,2,PART,PRCNCT,P,P_SV,"2024-06-10 02:51:08",336,327,0,8,1,137,128,0,8,1,133,4,361,224,96,18,19
11,CARAŞ-SEVERIN,"SCOALA GIMNZIALĂ NR. 3",147,"ORAŞ OŢELU ROŞU",51207,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:12:19",1225,1212,0,7,6,443,430,0,7,6,427,16,1333,890,300,58,69
11,CARAŞ-SEVERIN,"S.C. ”ROMFLEX” S.A.",154,"ORAŞ OŢELU ROŞU",51207,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:53:45",1156,1146,1,9,0,463,454,0,9,0,438,25,1267,804,331,66,41
