precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BANCIU TEODOR-DUMITRU-PARTIDUL SOCIAL DEMOCRAT-voturi","RĂCUCIU HORAŢIU-DUMITRU-PARTIDUL NAȚIONAL LIBERAL-voturi"
34,SIBIU,"CĂMIN CULTURAL ACILIU",205,"ORAŞ SĂLIŞTE",145499,3,PART,PRCNCT,P,P_SV,"2024-06-10 02:21:13",195,178,0,17,0,112,95,0,17,0,106,6,200,88,39,67
34,SIBIU,"CĂMIN CULTURAL FÂNTÂNELE",207,"ORAŞ SĂLIŞTE",145499,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:03:47",182,167,4,9,2,83,71,1,9,2,80,3,180,97,34,46
34,SIBIU,"CENTRU DE DOCUMENTARE ȘI INFORMARE SIBIEL",211,"ORAŞ SĂLIŞTE",145499,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:55:57",381,368,0,10,3,227,214,0,10,3,221,6,400,173,65,156
34,SIBIU,"CLĂDIREA FOSTEI PRIMĂRII",212,"ORAŞ SĂLIŞTE",145499,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:35:33",326,302,4,12,8,213,193,0,12,8,206,7,340,127,60,146
34,SIBIU,"LICEUL TEHNOLOGIC ”IOAN LUPAȘ”",204,"ORAŞ SĂLIŞTE",145499,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:47:36",1248,1171,2,18,57,824,749,0,18,57,811,13,1300,476,288,523
34,SIBIU,"LICEUL TEHNOLOGIC ”IOAN LUPAȘ”",203,"ORAŞ SĂLIŞTE",145499,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:29:30",1260,1234,3,19,4,749,723,3,19,4,731,18,1350,601,282,449
34,SIBIU,"MUZEUL ETNOGRAFIC ”MARIA COSTACHESCU",208,"ORAŞ SĂLIŞTE",145499,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:57:07",174,169,0,3,2,174,169,0,3,2,168,6,300,126,70,98
34,SIBIU,"ŞCOALA GENERALĂ SĂCEL",210,"ORAŞ SĂLIŞTE",145499,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:28:13",459,455,1,3,0,263,260,0,3,0,250,13,500,237,66,184
34,SIBIU,"ŞCOALA PRIMARĂ AMNAŞ",206,"ORAŞ SĂLIŞTE",145499,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:04:29",371,353,3,12,3,177,161,2,12,2,176,1,400,223,59,117
34,SIBIU,"ŞCOALA PRIMARĂ MAG",209,"ORAŞ SĂLIŞTE",145499,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:33:24",425,412,0,13,0,258,245,0,13,0,242,16,460,202,106,136
