precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CICEU SILVIU-CĂTĂLIN-PARTIDUL SOCIAL DEMOCRAT-voturi","BUDA IOAN-SORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","BONTA CORNEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MĂRCUŞ LIVIU-DORIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
6,BISTRIŢA-NĂSĂUD,"CĂMINUL CULTURAL CICEU-MIHĂIEŞTI",124,CICEU-MIHĂIEŞTI,179953,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:03:22",737,729,1,2,5,401,393,1,2,5,391,10,736,335,252,21,14,104
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GENERALĂ CICEU-CORABIA",125,CICEU-MIHĂIEŞTI,179953,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:59:22",117,105,0,10,2,79,67,0,10,2,75,4,120,41,41,5,5,24
6,BISTRIŢA-NĂSĂUD,"ŞCOALA GENERALĂ LELEŞTI",126,CICEU-MIHĂIEŞTI,179953,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:35:27",121,112,1,8,0,74,66,0,8,0,72,2,121,47,54,4,0,14
