precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","PARTIDUL PRO ROMÂNIA-voturi"
34,SIBIU,"CĂMIN MOTIȘ",379,"VALEA VIILOR",145961,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:55:45",545,538,1,4,2,229,223,0,4,2,207,20,600,373,103,19,4,81
34,SIBIU,"CĂMIN VALEA VIILOR",378,"VALEA VIILOR",145961,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:21:59",1304,1241,3,5,55,645,584,1,5,55,604,41,1357,712,220,119,43,222
