precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","STRÎMBIANU SORINA-voturi"
9,BRĂILA,"ŞCOALA CU CLASELE I-IV TATARU",184,DUDEŞTI,43073,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:23:58",430,417,0,10,3,279,266,0,10,3,259,20,500,221,137,41,71,7,3
9,BRĂILA,"ȘCOALA CU CLASELE V-VIII TĂTARU",183,DUDEŞTI,43073,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 11:53:20",1079,1054,0,5,20,703,678,0,5,20,683,20,1143,440,291,147,230,4,11
9,BRĂILA,"ȘCOALA GIMNAZIALĂ DUDEȘTI",182,DUDEŞTI,43073,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:25:09",1309,1283,0,3,23,800,774,0,3,23,732,30,1383,65,396,76,219,34,7
