precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LEAU VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi","ZĂRNESCU MARIAN-FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","POPESCU DUMITRU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
3,ARGEŞ,"CĂMIN CULTURAL BOTENI",240,BOTENI,14673,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:41:46",1411,1377,0,3,31,970,936,0,3,31,940,30,1444,474,597,141,202
3,ARGEŞ,"ŞCOALA PRIMARĂ LUNCA",241,BOTENI,14673,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:14:26",484,471,0,5,8,343,330,0,5,8,337,6,600,257,260,22,55
