precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"OBAJ ILIE-PARTIDUL SOCIAL DEMOCRAT-voturi","CÎNDEA EMILIA-LIVIA-PARTIDUL NAȚIONAL LIBERAL-voturi"
1,ALBA,"CĂMIN CULTURAL DOŞTAT",246,DOŞTAT,4268,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:10:12",462,409,0,31,22,335,282,0,31,22,332,3,460,125,66,266
1,ALBA,"CĂMINUL CULTURAL BOZ",247,DOŞTAT,4268,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:42:22",402,393,0,4,5,278,269,0,4,5,276,2,436,158,84,192
