precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","SEGĂRCEANU CRISTI-DANIEL-voturi"
17,DOLJ,"CAMINUL CULTURAL",242,BÂRCA,70940,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:51:49",1732,1614,1,87,30,979,862,0,87,30,905,74,1829,850,381,352,23,84,65
17,DOLJ,"GRADINITA DE COPII",243,BÂRCA,70940,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:15:28",1541,1441,1,68,31,906,806,1,68,31,848,58,1600,694,241,469,32,77,29
