precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BUGA CONSTANTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","REABSCHI VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi"
35,SUCEAVA,"CĂMIN CULTURAL DRAGOȘA",330,FRUMOSU,148729,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:10:35",351,348,0,3,0,216,213,0,3,0,212,4,400,184,177,35
35,SUCEAVA,"GRĂDINIȚA CU PROGRAM NORMAL ”VOINICEL” DEIA",329,FRUMOSU,148729,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:55:11",619,593,0,4,22,446,420,0,4,22,432,13,700,254,307,125
35,SUCEAVA,"SALĂ DE FESTIVITĂȚI A PRIMĂRIEI FRUMOSU",328,FRUMOSU,148729,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:43:22",1825,1788,0,2,35,1193,1156,0,2,35,1169,24,1935,742,1041,128
