precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NIŢĂ MARIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","CRISTEA GEORGE-PARTIDUL SOCIAL DEMOCRAT-voturi","ŞIŞCANU LEONARDO ADRIAN-PARTIDUL LEGE EDUCAȚIE UNITATE-voturi"
24,IAŞI,"GRADINITA COLTU-CORNII",484,GROZEŞTI,97394,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:35:15",465,430,0,3,32,280,245,0,3,32,274,6,500,220,76,197,1
24,IAŞI,"SC. GIMNAZIALA GROZESTI",483,GROZEŞTI,97394,1,PROV,PRCNCT,P,P_SV,"2024-06-10 01:21:38",943,888,0,5,50,504,449,0,5,50,487,12,931,432,93,374,20
