precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ROMÂNIA PUTERNICĂ-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ DUMBRĂVIŢA",388,DUMBRĂVIŢA,155261,3,PART,PRCNCT,CL,CL_SV,"2024-06-12 10:51:19",1610,1551,36,22,1,854,829,2,22,1,846,8,1700,846,112,44,38,195,353,5,90,9
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ DUMBRĂVIŢA",390,DUMBRĂVIŢA,155261,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 18:54:33",1633,1589,13,29,2,1011,979,1,29,2,998,13,1797,786,109,61,50,220,437,3,104,14
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ DUMBRĂVIŢA",387,DUMBRĂVIŢA,155261,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:05:11",1713,1618,60,34,1,973,938,0,34,1,965,8,1800,827,140,35,39,213,394,6,129,9
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ DUMBRĂVIŢA",391,DUMBRĂVIŢA,155261,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:55:44",1750,1689,33,23,5,938,910,0,23,5,918,17,1797,859,107,51,67,256,332,7,85,13
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ DUMBRĂVIŢA",389,DUMBRĂVIŢA,155261,3,PART,PRCNCT,CL,CL_SV,"2024-06-11 17:39:53",1723,1680,28,15,0,958,943,0,15,0,950,8,1800,842,124,54,60,215,366,3,107,21
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ DUMBRĂVIŢA",396,DUMBRĂVIŢA,155261,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:55:14",1726,1682,24,17,3,857,837,0,17,3,847,10,1950,1093,73,58,47,205,347,6,95,16
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ DUMBRĂVIŢA",392,DUMBRĂVIŢA,155261,1,PART,PRCNCT,CL,CL_SV,"2024-06-11 20:43:22",1737,1693,14,26,4,973,941,2,26,4,956,17,1800,827,98,70,178,214,297,2,88,9
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ DUMBRĂVIŢA",393,DUMBRĂVIŢA,155261,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:41:24",1663,1600,32,30,1,1025,995,0,30,0,988,37,1800,775,117,76,39,262,375,3,101,15
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ DUMBRĂVIȚA",394,DUMBRĂVIŢA,155261,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:19:56",1767,1675,68,19,5,834,807,3,19,5,825,9,1900,1066,123,65,41,187,268,7,127,7
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ DUMBRĂVIȚA",395,DUMBRĂVIŢA,155261,1,PART,PRCNCT,CL,CL_SV,"2024-06-11 19:29:11",1799,1722,27,28,22,1063,1010,3,28,22,1057,6,1900,837,164,43,124,218,378,6,115,9
