precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ROMÂNIA MARE-voturi"
16,DÂMBOVIŢA,"ȘCOALA GENERALĂ RACOVIȚA",162,BUCŞANI,66474,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:40:18",1051,1041,2,3,5,600,592,0,3,5,582,18,1150,550,323,199,36,15,9
16,DÂMBOVIŢA,"ȘCOALA GENERALĂ RĂȚOAIA",163,BUCŞANI,66474,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:07:37",391,381,1,7,2,266,257,0,7,2,259,7,420,154,141,98,17,2,1
16,DÂMBOVIŢA,"SCOALA GENERALA VALENI DIMBOVITA, PARTER SALA A DOUA",411,VĂLENI-DÂMBOVIŢA,69303,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:05:36",883,865,0,6,12,612,594,0,6,12,600,12,950,338,446,104,22,17,11
16,DÂMBOVIŢA,"SCOALA GENERALA VALENI DIMBOVITA, PARTER SALA PATRU",412,VĂLENI-DÂMBOVIŢA,69303,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:08:48",941,920,1,3,17,642,622,0,3,17,628,14,1010,368,448,141,21,15,3
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ BÂLDANA - TĂRTĂŞEŞTI,",386,TĂRTĂŞEŞTI,105534,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:19:12",1397,1387,3,7,0,796,788,1,7,0,749,47,1520,724,410,61,148,56,74
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ BRĂNEŞTI",151,BRĂNEŞTI,66009,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:15:01",1411,1405,0,5,1,714,708,0,5,1,691,23,1557,839,406,179,62,36,8
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ BREZOAELE",153,BREZOAELE,101341,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:39:35",1100,1051,2,27,20,853,806,0,27,20,835,17,1156,304,492,291,32,14,6
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ BREZOAIA",155,BREZOAELE,101341,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:08:14",1007,980,0,10,17,814,787,0,10,17,796,18,1077,260,499,244,38,9,6
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ BREZOAIA",154,BREZOAELE,101341,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:11:51",799,779,0,11,9,644,624,0,11,9,615,29,857,213,358,212,21,15,9
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ BUNGETU",410,VĂCĂREŞTI,69250,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:16:05",1128,1125,0,3,0,689,686,0,3,0,655,34,1240,551,156,439,36,20,4
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ BUTIMANU",164,BUTIMANU,101564,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:05:22",1498,1391,1,90,16,1172,1065,1,90,16,1128,44,1550,378,956,98,52,15,7
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ BUTOIU DE JOS",265,HULUBEŞTI,67675,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:24:43",780,776,0,4,0,417,413,0,4,0,402,15,850,431,149,233,5,14,1
