precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BOCUŢ MARIAN-IOAN-UNIUNEA SALVAȚI ROMÂNIA-voturi","ROŞCA DANIEL-NICOLAE-PARTIDUL NAȚIONAL LIBERAL-voturi","FARCAŞ FELICIAN-IOSIF-PARTIDUL SOCIAL DEMOCRAT-voturi"
33,SĂLAJ,"CAMIN CULTURAL PRIA",110,CIZER,140547,2,PART,PRCNCT,P,P_SV,"2024-06-13 12:56:49",374,310,0,58,6,275,211,0,58,6,268,7,382,107,39,46,183
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ CIZER",108,CIZER,140547,2,PART,PRCNCT,P,P_SV,"2024-06-10 14:02:31",1350,1266,1,70,13,907,824,0,70,13,881,24,1350,443,54,455,372
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ PLESCA",109,CIZER,140547,3,PART,PRCNCT,P,P_SV,"2024-06-13 12:53:23",171,155,0,11,5,102,86,0,11,5,99,3,200,98,37,37,25
