precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","FORȚA DREPTEI-voturi"
40,VÂLCEA,"ŞCOALA DEALUL VĂLENI",431,ZĂTRENI,174290,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:15:17",184,173,0,10,1,110,99,0,10,1,100,10,190,80,36,38,10,10,0,4,2,0
40,VÂLCEA,"ŞCOALA GIMNAZIALĂ ZĂTRENI",430,ZĂTRENI,174290,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:24:32",502,480,2,8,12,278,257,1,8,12,268,10,550,272,91,99,13,15,3,33,11,3
40,VÂLCEA,"ŞCOALA PRIMARĂ SĂSCIOARA",432,ZĂTRENI,174290,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:48:48",327,295,0,24,8,219,187,0,24,8,208,11,329,110,13,106,6,23,27,1,30,2
40,VÂLCEA,"ŞCOALA PRIMARĂ STANOMIRU",433,ZĂTRENI,174290,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:20:40",363,348,0,9,6,200,185,0,9,6,192,8,390,190,75,73,9,11,2,12,3,7
40,VÂLCEA,"ŞCOALA PRIMARĂ VĂLENI",434,ZĂTRENI,174290,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:43:19",348,332,0,8,8,216,200,0,8,8,206,10,370,154,27,106,24,17,1,7,19,5
