precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA ELECTORALĂ PSD PNL-voturi","PARTIDUL ROMÂNIA PUTERNICĂ-voturi","PARTIDUL PATRIOȚILOR-voturi","PARTIDUL ROMÂNIA MARE-voturi"
37,TIMIŞ,"ANEXA ADMINISTRATIVĂ A FOSTEI UNITĂȚI MILITARE - GIROC",428,GIROC,155314,6,PROV,PRCNCT,CJ,CJ_SV,"2024-06-14 09:40:41",1748,1714,14,15,5,842,821,1,15,5,827,15,2000,1158,13,14,10,34,94,34,291,308,17,7,5
37,TIMIŞ,"ANEXA ADMINISTRATIVĂ A FOSTEI UNITĂȚI MILITARE - GIROC",429,GIROC,155314,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-14 09:55:53",1785,1745,13,27,0,859,831,1,27,0,844,15,2000,1141,8,13,18,11,52,48,391,279,15,2,7
37,TIMIŞ,"BAZĂ DE AGREMENT ȘI TRATAMENT (ȘTRAND TERMAL)",461,LOVRIN,157530,4,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 11:39:48",1742,1720,4,5,13,754,736,0,5,13,696,58,1800,1046,6,14,9,43,77,3,80,452,4,3,5
37,TIMIŞ,"BIBLIOTECA COMUNALĂ ORȚIȘOARA",498,ORŢIŞOARA,158010,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:10:10",977,956,4,12,5,581,563,1,12,5,549,32,1000,419,9,69,13,38,59,4,100,240,2,10,5
37,TIMIŞ,"BIBLIOTECA COMUNALĂ PESAC",513,PESAC,159507,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:12:32",909,890,4,3,12,459,444,0,3,12,426,33,1000,541,1,2,4,10,114,2,11,275,2,2,3
37,TIMIŞ,"BIBLIOTECA LOCALĂ ”DIMITRIE ŢICHINDEAL” BECICHERECU MIC",318,"BECICHERECU MIC",155760,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:36:39",1196,1179,5,8,4,545,531,2,8,4,508,37,1400,855,5,22,3,14,69,9,107,266,3,7,3
37,TIMIŞ,"BIROUL LOCUINŢE/DIRECŢIA CLĂDIRI, TERENURI ŞI DOTĂRI DIVERSE- PRIMĂRIA MUNICIPIULUI TIMIŞOARA",50,"MUNICIPIUL TIMIŞOARA",155243,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:26:18",717,632,77,8,0,285,272,5,8,0,281,4,1100,815,1,7,15,3,28,5,120,98,1,1,2
37,TIMIŞ,"CĂMIN CULTURAL CRAI NOU",437,GIULVĂZ,157317,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:58:23",350,342,0,8,0,157,149,0,8,0,141,16,400,243,1,0,3,26,28,3,20,58,0,1,1
37,TIMIŞ,"CĂMIN CULTURAL IVANDA",438,GIULVĂZ,157317,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:34:23",490,489,0,1,0,219,218,0,1,0,212,7,500,281,6,5,8,17,40,2,24,106,1,2,1
37,TIMIŞ,"CAMIN CULTURAL LUGOJEL",405,GAVOJDIA,157031,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:36:42",641,616,1,6,18,387,362,1,6,18,375,12,800,413,24,5,9,18,36,3,30,247,2,0,1
37,TIMIŞ,"CĂMIN CULTURAL RUDNA",439,GIULVĂZ,157317,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 19:47:32",590,584,1,3,2,254,248,1,3,2,224,30,599,345,2,1,7,53,31,2,6,116,1,3,2
37,TIMIŞ,"CAMIN CULTURAL UNIP",537,"SACOŞU TURCESC",158449,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:20:20",208,195,0,12,1,133,120,0,12,1,123,10,204,71,0,3,4,4,31,1,10,67,2,1,0
37,TIMIŞ,"CĂMINUL CULTURAL ALIOȘ",468,MAŞLOC,157683,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:19:11",750,681,2,29,38,505,438,0,29,38,452,53,700,195,4,4,6,22,105,2,23,277,1,3,5
37,TIMIŞ,"CĂMINUL CULTURAL BALINŢ",298,BALINŢ,155546,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:52:36",396,381,1,9,5,219,205,0,9,5,201,18,499,280,2,4,15,27,27,8,43,69,0,1,5
37,TIMIŞ,"CĂMINUL CULTURAL BALOȘEȘTI",581,TOMEŞTI,158895,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 11:26:27",113,108,0,3,2,90,85,0,3,2,86,4,200,110,2,4,1,1,20,0,3,53,1,1,0
37,TIMIŞ,"CĂMINUL CULTURAL BÂRNA",310,BÂRNA,155957,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 19:38:22",420,411,0,6,3,283,274,0,6,3,249,34,700,417,3,8,1,17,32,0,9,178,0,0,1
37,TIMIŞ,"CĂMINUL CULTURAL BAZOŞU NOU",345,BUCOVĂŢ,159516,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-17 10:28:36",540,515,0,25,0,385,360,0,25,0,373,12,800,415,2,11,13,12,27,3,70,231,2,2,0
37,TIMIŞ,"CĂMINUL CULTURAL BERECUŢA",332,BIRDA,159366,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:53:44",166,163,0,0,3,92,89,0,0,3,91,1,300,208,0,1,2,6,7,1,4,70,0,0,0
37,TIMIŞ,"CĂMINUL CULTURAL BEREGSĂU MARE",548,SĂCĂLAZ,158564,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:34:01",1082,1027,0,51,4,666,611,0,51,4,643,23,1100,434,7,7,10,25,116,11,66,389,3,6,3
37,TIMIŞ,"CĂMINUL CULTURAL BEREGSĂU MARE",549,SĂCĂLAZ,158564,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:26:04",1110,1063,3,41,3,662,618,0,41,3,631,31,1100,438,3,3,15,24,142,7,71,352,5,2,7
37,TIMIŞ,"CĂMINUL CULTURAL BEREGSĂU MIC",550,SĂCĂLAZ,158564,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:44:41",801,782,1,17,1,445,426,1,17,1,408,37,900,455,1,6,8,20,74,0,53,239,1,2,4
37,TIMIŞ,"CĂMINUL CULTURAL BICHIGI",261,"ORAŞ FĂGET",156801,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:10:27",516,511,0,5,0,313,308,0,5,0,286,27,600,287,5,6,6,8,70,2,19,169,0,0,1
37,TIMIŞ,"CAMINUL CULTURAL BILED",329,BILED,155911,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:24:43",1991,1930,1,19,41,1040,980,0,19,41,962,78,2200,1160,10,126,29,80,88,6,121,492,2,7,1
37,TIMIŞ,"CĂMINUL CULTURAL BOTINEŞTI",311,BÂRNA,155957,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 19:41:16",157,145,0,11,1,121,109,0,11,1,91,30,200,79,0,0,3,5,11,0,6,64,0,1,1
37,TIMIŞ,"CĂMINUL CULTURAL BRĂNEŞTI",262,"ORAŞ FĂGET",156801,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:50:33",404,398,0,3,3,263,257,0,3,3,245,18,400,137,0,3,5,1,33,0,5,196,2,0,0
37,TIMIŞ,"CĂMINUL CULTURAL BREAZOVA",463,MARGINA,157585,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-13 14:27:38",210,203,1,5,1,140,133,1,5,1,134,6,500,360,1,5,5,10,26,3,15,67,0,1,1
37,TIMIŞ,"CĂMINUL CULTURAL BUCOVĂŢ",344,BUCOVĂŢ,159516,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:44:09",1863,1785,6,58,14,1263,1189,2,58,14,1199,64,2000,737,8,75,34,46,102,20,372,526,5,4,7
37,TIMIŞ,"CĂMINUL CULTURAL BULGĂRUŞ",452,LENAUHEIM,157451,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 09:16:46",1820,1801,2,12,5,765,747,1,12,5,677,88,1900,1135,6,9,7,52,127,4,156,312,1,1,2
