precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ONEŢIU VASILE-FLORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","BRAIŢI MIRCEA-THEODOR-PARTIDUL NAȚIONAL LIBERAL-voturi"
2,ARAD,"CĂMINUL CULTURAL BERINDIA",225,BUTENI,10293,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:44:38",177,168,0,2,7,139,130,0,2,7,138,1,200,61,30,108
2,ARAD,"GRĂDINIȚA CU PROGRAM NORMAL PĂULIAN",227,BUTENI,10293,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:27:02",255,239,0,9,7,169,153,0,9,7,160,9,280,111,31,129
2,ARAD,"PRIMĂRIA COMUNEI BUTENI",223,BUTENI,10293,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:04:21",748,707,2,9,30,552,512,1,9,30,539,13,830,278,110,429
2,ARAD,"ȘCOALA GIMNAZIALĂ ”GABRIEL BROLA” BUTENI",224,BUTENI,10293,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:43:11",951,881,0,11,59,709,639,0,11,59,677,32,1030,321,242,435
2,ARAD,"ȘCOALA PRIMARĂ CUIED",226,BUTENI,10293,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:42:22",550,498,2,6,44,397,356,1,6,34,381,16,587,190,117,264
