precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PRUNDUREL EMIL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DAVID ADRIAN-DUMITRU-PARTIDUL NAȚIONAL LIBERAL-voturi","VINTILĂ LUCIAN-MIHAI-PARTIDUL SOCIAL DEMOCRAT-voturi","OPRIŞCAN GABRIEL-VASILE-PARTIDUL S.O.S. ROMÂNIA-voturi","STOICA GHEORGHE-DANIEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
34,SIBIU,"GRADINITA NR,1 PROGRAM NORMAL",162,"ORAŞ AVRIG",144054,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:50:10",1573,1560,1,7,5,844,832,0,7,5,823,21,1826,982,59,435,219,8,102
34,SIBIU,"GRADINITA NR.3 PROGRAM PRELUNGIT",159,"ORAŞ AVRIG",144054,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:26:54",1413,1405,0,8,0,654,646,0,8,0,627,27,1600,946,113,286,156,17,55
34,SIBIU,"LICEUL ”GHEORGHE LAZĂR”, AVRIG",163,"ORAŞ AVRIG",144054,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:58:31",1240,1230,0,9,1,569,559,0,9,1,557,12,1330,761,71,332,80,8,66
34,SIBIU,"LICEUL ”GHEORGHE LAZĂR”, AVRIG",164,"ORAŞ AVRIG",144054,1,PROV,PRCNCT,P,P_SV,"2024-06-10 10:41:01",1344,1335,3,6,0,685,679,0,6,0,674,11,1440,755,49,399,144,11,71
34,SIBIU,"LICEUL ”TEHNOLOGIC MÂRŞA",167,"ORAŞ AVRIG",144054,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:58:10",1254,1248,3,3,0,580,577,0,3,0,560,20,1350,770,77,378,58,17,30
34,SIBIU,"LICEUL ”TEHNOLOGIC MÂRŞA",168,"ORAŞ AVRIG",144054,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:07:38",1281,1277,0,4,0,573,569,0,4,0,561,12,1360,787,46,398,69,14,34
34,SIBIU,"SCOALA GIMNAZIALA AVRIG",160,"ORAŞ AVRIG",144054,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:51:11",1478,1471,5,2,0,750,748,0,2,0,731,19,1620,870,115,412,127,7,70
34,SIBIU,"ŞCOALA GIMNAZIALA AVRIG",161,"ORAŞ AVRIG",144054,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:52:49",1182,1155,3,18,6,673,665,0,2,6,655,18,1300,627,111,338,145,10,51
34,SIBIU,"ŞCOALA PRIMARĂ GLÎMBOACA",166,"ORAŞ AVRIG",144054,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:28:56",205,197,0,8,0,111,103,0,8,0,103,8,220,109,19,43,22,11,8
34,SIBIU,"ŞCOLA GIMNAZIALĂ BRADU",165,"ORAŞ AVRIG",144054,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:49:23",899,892,4,3,0,418,415,0,3,0,398,20,1000,582,56,221,78,8,35
34,SIBIU,"ŞCOLA PRIMARĂ SĂCĂDATE",169,"ORAŞ AVRIG",144054,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:15:48",488,482,0,5,1,242,236,0,5,1,239,3,540,298,25,130,44,7,33
