precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"OPREAN CONSTANTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","IOVI ADRIAN-PAVEL-PARTIDUL SOCIAL DEMOCRAT-voturi"
34,SIBIU,"GRĂDINIȚA CU PROGRAM NORMAL POIANA SIBIULUI",321,"POIANA SIBIULUI",145275,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:21:33",836,808,0,5,23,449,421,0,5,23,441,8,924,475,74,367
34,SIBIU,"ȘCOALA GIMNAZIALĂ ”IOAN BAN - DASCĂLU”, POIANA SIBIULUI, NR. 1332",322,"POIANA SIBIULUI",145275,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:11:31",967,947,0,8,12,482,462,0,8,12,455,27,1040,558,120,335
