precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LUPU VASILE-PARTIDUL NAȚIONAL LIBERAL-voturi","ALUPOAIE GABRIELA-PARTIDUL SOCIAL DEMOCRAT-voturi","MIHALACHI BOGDAN-SILVIU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PRICOP VASILICĂ-PARTIDUL S.O.S. ROMÂNIA-voturi","ISPIR GIANI-CONSTANTIN-PARTIDUL MIȘCAREA POPULARĂ-voturi","TOMA IONEL-PARTIDUL PRO ROMÂNIA-voturi"
24,IAŞI,"SCOALA GENERALA ” DIMITRIE STURDZA ”POPESTI",588,POPEŞTI,98435,1,PROV,PRCNCT,P,P_SV,"2024-06-10 13:13:14",933,911,1,12,9,505,484,0,12,9,483,22,1016,511,151,91,188,8,20,25
24,IAŞI,"SCOALA GENERALA ”DIMITRIE STURDZA”POPESTI",589,POPEŞTI,98435,1,PART,PRCNCT,P,P_SV,"2024-06-11 10:19:53",916,895,2,6,13,533,514,0,6,13,514,19,1000,467,145,113,194,20,23,19
24,IAŞI,"ŞCOALA GIMNAZIALA HARPASESTI,CORP CLADIRE NOU,SALA DIN PARTEA DREAPTA,PARTER",591,POPEŞTI,98435,1,PART,PRCNCT,P,P_SV,"2024-06-10 14:01:17",776,756,0,3,17,486,466,0,3,17,446,20,900,434,199,51,134,10,46,6
24,IAŞI,"ŞCOALA PRIMARA DOROSCANI",590,POPEŞTI,98435,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:11:23",444,432,0,1,11,254,242,0,1,11,241,12,500,247,90,68,75,4,1,3
24,IAŞI,"ŞCOALA PRIMARA ”NICOLAIE BUTESCU” OBRIJENI",592,POPEŞTI,98435,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:09:00",1652,1644,0,8,0,93,85,0,8,0,92,1,1731,1638,46,20,21,2,2,1
24,IAŞI,"ŞCOALA PRIMARA ”NICOLAIE BUTESCU” OBRIJENI",593,POPEŞTI,98435,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:47:52",1416,1404,0,9,3,79,67,0,9,3,77,2,1600,1521,35,23,16,1,1,1
