precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-voturi"
20,GORJ,"CENTRUL CULTURAL ”GH.ZAMFIR”",307,STEJARI,82243,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:11:42",935,807,0,112,16,691,563,0,112,16,670,21,900,209,43,333,254,29,11
20,GORJ,"ȘCOALA GENERALĂ PISCOIU",309,STEJARI,82243,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:19:28",733,641,0,79,13,570,478,0,79,13,554,16,746,176,21,320,199,13,1
20,GORJ,"ŞCOALA PRIMARĂ BALOŞANI",308,STEJARI,82243,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:59:24",429,376,0,45,8,322,269,0,45,8,320,2,400,78,15,95,187,7,16
