precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POPESCU NICU-CIPRIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MIHĂEŞ GRIGORE-PARTIDUL SOCIAL DEMOCRAT-voturi","LAZĂR FĂNICĂ-PARTIDUL NAȚIONAL LIBERAL-voturi"
41,VRANCEA,"GRĂDINIȚA CU PROGRAM NORMAL NR.1 NĂRUJA",225,NĂRUJA,176891,4,PART,PRCNCT,P,P_SV,"2024-06-11 14:18:47",971,935,0,6,30,620,584,0,6,30,601,19,1062,442,66,533,2
41,VRANCEA,"ŞCOALA CU CLASELE I-IV",226,NĂRUJA,176891,3,PART,PRCNCT,P,P_SV,"2024-06-11 08:49:13",543,536,2,1,4,312,307,0,1,4,307,5,592,280,26,273,8
