precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi","PARTIDUL MIȘCAREA ROMÂNIA SUVERANĂ-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi"
26,MARAMUREŞ,"CĂMINUL CULTURAL",417,ŞIEU,179613,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:37:44",1245,1168,1,52,24,861,784,1,52,24,824,35,1300,439,141,253,80,61,77,56,69,27,42,18
26,MARAMUREŞ,"ȘCOALA DE LA PODUL RÂTULUI",418,ŞIEU,179613,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:15:37",750,702,0,34,14,524,477,0,34,13,507,17,796,272,82,95,25,53,25,40,36,61,32,58
