precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","FORȚA DREPTEI-voturi"
39,VASLUI,"GRĂDINIȚA CU PROGRAM NORMAL NR.1",482,TANACU,166182,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:25:56",1259,1229,0,4,26,678,648,0,4,26,634,44,1300,622,109,116,191,112,41,65
39,VASLUI,"ŞCOALA PRIMARĂ SAT. BENEŞTI",483,TANACU,166182,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:04:57",249,238,0,9,2,137,126,0,9,2,127,10,309,172,9,74,13,10,2,19
