precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"JANTEA MIREL-PARTIDUL NAȚIONAL LIBERAL-voturi","URUCU FLOREA-PARTIDUL SOCIAL DEMOCRAT-voturi","TITIŞINĂ ADRIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PĂTRAŞCU MARIUS-FLORIN-PARTIDUL MIȘCAREA POPULARĂ-voturi"
19,GIURGIU,"CĂMINUL CULTURAL MALU",174,MALU,179739,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:53:35",875,796,1,42,36,673,595,0,42,36,657,16,914,241,299,324,30,4
19,GIURGIU,"ȘCOALĂ GIMNAZIALĂ IOAN BĂDILĂ MALU",175,MALU,179739,2,PART,PRCNCT,P,P_SV,"2024-06-11 10:15:31",903,830,2,47,24,712,641,0,47,24,697,15,937,225,255,411,23,8
