precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BĂDICI FĂNEL-UNIUNEA SALVAȚI ROMÂNIA-voturi","LAZĂR FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","GULIE MARIAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
30,OLT,"GRĂDINIŢA CU PROGRAM NORMAL IZBICENI",234,IZBICENI,127368,2,PART,PRCNCT,P,P_SV,"2024-06-10 11:54:21",1461,1451,0,1,9,993,983,0,1,9,967,26,1606,613,443,171,353
30,OLT,"ŞCOALA NOUA",235,IZBICENI,127368,1,PART,PRCNCT,P,P_SV,"2024-06-10 14:10:39",1310,1292,0,6,12,940,922,0,6,12,877,63,1430,490,422,142,313
30,OLT,"ŞCOALA VECHE",233,IZBICENI,127368,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:51:20",906,896,0,3,7,630,620,0,3,7,623,7,1068,438,241,115,267
