precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
33,SĂLAJ,"ŞCOALA CU CLASELE I-IV CHILIOARA",113,COŞEIU,140583,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 13:08:08",248,218,0,20,10,166,136,0,20,10,161,5,255,89,59,10,9,2,81
33,SĂLAJ,"ŞCOALA GIMNAZIALĂ ARCHID",112,COŞEIU,140583,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 13:05:13",383,352,1,13,17,296,266,0,13,17,269,10,400,104,19,219,1,25,5
33,SĂLAJ,"SCOALA GIMNAZIALA NR. 1 COSEIU",111,COŞEIU,140583,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 13:01:17",419,343,1,65,10,310,234,1,65,10,303,7,374,64,164,73,43,6,17
