precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi"
13,CLUJ,"ALUNISU NR.74 CAMINUL CULTURAL",619,SÂNCRAIU,59434,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:15:39",95,88,2,3,2,61,55,1,3,2,58,3,102,41,44,5,5,1,0,1,0,0,2,0
13,CLUJ,"ASEZAMANTUL SOCIAL BISERICESC",520,JUCU,58259,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:42:35",649,628,6,9,6,405,389,1,9,6,397,8,693,288,15,135,24,64,12,136,0,4,4,3
13,CLUJ,"ASOCIAŢIA ”CARITATEA”",57,"MUNICIPIUL CLUJ-NAPOCA",54975,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 14:42:26",1192,1089,88,15,0,667,652,0,15,0,619,15,1301,634,6,39,55,197,10,221,6,3,76,6
13,CLUJ,"BIROUL PRIMĂRIEI CARA",424,COJOCNA,57350,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:42:27",701,680,0,21,0,392,371,0,21,0,364,28,749,357,36,143,25,58,15,63,4,4,2,14
13,CLUJ,"CAMIN CULT. SAMBOIENI",627,SÂNMĂRTIN,59498,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-09 23:10:28",106,100,1,5,0,73,68,0,5,0,67,6,100,27,1,12,4,47,1,2,0,0,0,0
13,CLUJ,"CAMIN CULTURAL",290,"ORAŞ HUEDIN",55446,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 15:55:31",253,246,0,6,1,133,126,0,6,1,131,2,272,139,102,8,0,6,0,15,0,0,0,0
13,CLUJ,"CAMIN CULTURAL",560,MOCIU,58623,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:29:32",274,260,1,11,2,200,187,0,11,2,171,29,288,88,6,35,14,97,8,4,4,3,0,0
13,CLUJ,"CAMIN CULTURAL",549,"MIHAI VITEAZU",55277,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:10:38",686,667,1,15,3,409,391,0,15,3,383,26,735,326,102,40,22,183,13,18,1,1,2,1
13,CLUJ,"CAMIN CULTURAL",643,"TRITENII DE JOS",59693,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:38:54",232,224,0,8,0,137,129,0,8,0,123,14,246,109,5,26,13,33,4,38,3,1,0,0
13,CLUJ,"CAMIN CULTURAL",641,"TRITENII DE JOS",59693,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:19:13",950,940,1,9,0,496,487,0,9,0,473,23,1036,540,12,87,53,125,15,178,0,0,1,2
