precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL VERDE-voturi","FORȚA DREPTEI-voturi","PARTIDUL SOCIETĂȚII IEȘENE-voturi","PARTIDUL ROMÂNIA - ECHITATE, COMUNITATE, ONESTITATE-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL LEGE EDUCAȚIE UNITATE-voturi"
24,IAŞI,"CENTRUL DE CARTIER FRUMOASA",200,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:53:34",1288,1279,1,8,0,576,568,0,8,0,566,10,1400,824,148,103,68,4,7,7,14,80,119,11,5
24,IAŞI,"CENTRUL TEHNOLOGIC REGIONAL",260,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:17:01",1178,1166,2,10,0,504,504,0,0,0,496,8,1300,796,103,58,70,1,12,6,9,80,143,6,8
24,IAŞI,"CENTRUL TEHNOLOGIC REGIONAL",261,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:48:20",764,758,0,6,0,333,327,0,6,0,328,5,884,551,64,57,40,6,7,10,7,50,83,2,2
24,IAŞI,"COLEGIUL ECONOMIC ADMINISTRATIV",48,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:40:30",952,912,38,2,0,435,433,0,2,0,421,12,1000,565,130,80,57,4,8,7,4,32,88,6,5
24,IAŞI,"COLEGIUL ECONOMIC ADMINISTRATIV",47,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:02:17",909,882,20,7,0,350,343,0,7,0,343,7,1000,650,90,57,50,8,8,9,3,31,78,5,4
24,IAŞI,"COLEGIUL NAŢIONAL",25,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:41:31",923,917,0,6,0,399,393,0,6,0,391,8,1000,601,103,76,51,3,6,10,14,41,82,2,3
24,IAŞI,"COLEGIUL NAŢIONAL",26,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:54:12",782,778,0,4,0,293,289,0,4,0,280,9,900,607,84,71,35,3,5,2,3,27,41,5,4
24,IAŞI,"COLEGIUL NAŢIONAL",27,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:55:15",1255,1239,9,6,1,372,365,0,6,1,356,16,1400,1028,77,73,32,4,6,5,12,44,93,6,4
24,IAŞI,"COLEGIUL NAŢIONAL",28,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:27:48",1349,1269,70,10,0,519,509,0,10,0,498,21,1400,881,119,97,55,8,11,18,6,59,109,9,7
24,IAŞI,"COLEGIUL NAŢIONAL",24,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:04:41",1266,1227,16,22,1,538,515,0,22,1,524,13,1400,861,117,90,65,14,15,10,11,54,133,8,7
24,IAŞI,"COLEGIUL NATIONAL ”COSTACHE NEGRUZZI’’",31,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:23:17",912,862,24,13,13,416,390,0,13,13,403,13,1000,584,108,59,42,10,4,13,7,56,93,5,6
24,IAŞI,"COLEGIUL NATIONAL ”COSTACHE NEGRUZZI’’",32,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:56:45",966,788,15,155,8,537,374,0,155,8,524,13,900,360,154,77,31,5,16,16,12,65,136,6,6
24,IAŞI,"COLEGIUL NATIONAL DE ARTĂ ”OCTACV BĂNCILĂ”",54,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:23:03",624,588,26,9,1,256,246,0,9,1,249,7,700,444,92,60,30,1,4,5,5,14,33,3,2
24,IAŞI,"COLEGIUL NATIONAL DE ARTĂ ”OCTACV BĂNCILĂ”",53,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:06:20",613,568,36,8,1,251,242,0,8,1,246,5,600,349,59,58,30,3,4,6,4,34,47,1,0
24,IAŞI,"COLEGIUL NATIONAL DE ARTĂ ”OCTACV BĂNCILĂ”",52,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:06:21",750,713,30,6,1,278,271,0,6,1,263,15,800,522,90,56,24,5,2,3,5,23,50,3,2
24,IAŞI,"COLEGIUL NATIONAL DE ARTĂ ”OCTAV BĂNCILĂ”",55,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:16:33",690,658,26,5,1,255,249,0,5,1,238,17,700,445,65,39,50,3,3,9,1,9,43,7,9
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",231,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:40:45",1449,1441,0,8,0,172,164,0,8,0,167,5,1600,1428,30,32,13,3,5,2,4,22,44,7,5
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",228,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:33:01",1720,1711,1,8,0,119,111,0,8,0,113,6,1900,1781,26,34,12,5,3,2,2,11,14,2,2
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",233,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:40:59",1470,1460,0,10,0,118,108,0,10,0,113,5,1600,1482,30,20,22,2,3,1,2,7,20,3,3
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",235,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 01:50:37",2040,2031,0,9,0,25,16,0,9,0,24,1,2300,2275,4,8,2,0,0,0,0,6,3,0,1
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",230,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:19:33",1588,1584,0,4,0,218,214,0,4,0,213,5,1800,1582,42,40,27,4,4,2,5,27,50,4,8
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",234,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:25:15",1023,1016,2,5,0,244,239,0,5,0,222,22,1100,856,51,42,25,2,7,7,8,27,48,3,2
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",227,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:10:21",1687,1680,0,7,0,99,92,0,7,0,97,2,1900,1801,21,28,12,4,1,2,1,7,16,2,3
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",229,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:30:13",1495,1485,1,9,0,386,377,0,9,0,367,19,1600,1214,74,91,40,4,7,3,10,29,92,9,8
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",232,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:56:14",1613,1604,2,7,0,194,187,0,7,0,186,8,1800,1606,42,37,17,7,6,2,5,25,40,1,4
24,IAŞI,"COLEGIUL NAŢIONAL ”EMIL RACOVIŢĂ”",236,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:00:02",1600,1591,0,9,0,96,87,0,9,0,91,5,1800,1700,21,20,12,1,2,3,1,8,21,0,2
24,IAŞI,"COLEGIUL NATIONAL ”GARABET IBRĂILEANU”",33,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:27:13",1132,1025,35,31,41,481,409,1,31,40,464,17,1100,619,114,96,71,6,13,5,4,28,116,6,5
24,IAŞI,"COLEGIUL NATIONAL ”GARABET IBRĂILEANU”",35,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:33:25",1335,1046,15,213,61,718,444,0,213,61,712,6,1200,482,160,144,57,7,17,14,18,76,189,10,20
24,IAŞI,"COLEGIUL NATIONAL ”GARABET IBRĂILEANU”",36,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:02:33",1633,1594,0,6,33,139,100,0,6,33,133,6,1800,1661,25,42,39,1,0,1,0,0,23,1,1
24,IAŞI,"COLEGIUL NATIONAL ”GARABET IBRĂILEANU”",34,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:42:24",1116,1063,8,4,41,559,518,0,4,37,546,13,1200,641,144,112,73,3,4,8,12,45,127,8,10
24,IAŞI,"COLEGIUL NAŢIONAL ”MIHAI EMINESCU”",40,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:17:00",984,971,10,2,1,459,454,2,2,1,444,15,1100,641,94,92,48,4,3,8,5,49,129,3,9
24,IAŞI,"COLEGIUL NAŢIONAL ”MIHAI EMINESCU”",41,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:24:53",974,926,16,12,20,461,432,0,12,17,446,15,1000,539,115,81,62,7,10,6,5,42,105,2,11
24,IAŞI,"COLEGIUL TEHNIC ELECTRONICĂ ŞI TELECOMUNICAŢII ”GHEORGHE MÂRZESCU”",181,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:46:26",1298,1274,1,22,1,473,450,0,22,1,453,20,1400,927,104,106,64,7,8,5,7,52,84,10,6
24,IAŞI,"COLEGIUL TEHNIC ELECTRONICĂ ŞI TELECOMUNICAŢII ”GHEORGHE MÂRZESCU”",182,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:19:41",1599,1581,1,17,0,293,276,0,17,0,277,16,1800,1507,64,63,58,4,4,4,7,23,37,7,6
24,IAŞI,"COLEGIUL TEHNIC ”IOAN C.ŞTEFĂNESCU”",176,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:26:50",1073,1062,2,9,0,251,242,0,9,0,240,11,1200,948,58,67,30,4,5,4,6,17,40,4,5
24,IAŞI,"COLEGIUL TEHNIC ”IOAN C.ŞTEFĂNESCU”",174,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:13:46",1402,1396,0,6,0,327,321,0,6,0,311,16,1600,1273,77,75,28,3,4,7,4,34,66,7,6
24,IAŞI,"COLEGIUL TEHNIC ”IOAN C.ŞTEFĂNESCU”",175,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:48:29",1687,1677,1,9,0,260,251,0,9,0,245,15,1900,1640,63,66,42,4,5,2,8,14,35,4,2
24,IAŞI,"COLEGIUL TEHNIC ”ION HOLBAN”",258,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 08:07:15",1248,1240,0,8,0,425,417,0,8,0,395,30,1400,975,108,76,55,5,3,7,20,43,68,3,7
24,IAŞI,"COLEGIUL TEHNIC ”ION HOLBAN”",257,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:15:26",1270,1247,0,7,16,540,517,0,7,16,523,17,1400,860,114,108,66,25,5,11,0,57,117,11,9
24,IAŞI,"COLEGIUL TEHNIC ”ION HOLBAN”",256,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:33:39",1449,1438,2,8,1,581,572,0,8,1,558,23,1600,1019,149,107,69,10,12,14,5,69,110,7,6
24,IAŞI,"DIRECTIA JUDETEANA PENTRU SPORT SI TINERET - COMPLEX SPORTIV GRADINARI",145,"MUNICIPIUL IAŞI",95060,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 17:11:57",1274,1265,0,8,1,493,484,0,8,1,477,12,1400,907,124,125,38,3,9,6,6,50,105,4,7
24,IAŞI,"DIRECTIA JUDETEANA PENTRU SPORT SI TINERET - COMPLEX SPORTIV GRADINARI",144,"MUNICIPIUL IAŞI",95060,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:00:37",1552,1525,3,24,0,448,421,3,24,0,432,16,1700,16,99,86,46,11,10,7,4,43,108,12,6
