precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ROMÂNIA PUTERNICĂ-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
37,TIMIŞ,"CĂMINUL CULTURAL BULGĂRUŞ",452,LENAUHEIM,157451,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:59:29",1820,1801,2,12,5,765,747,1,12,5,725,40,1975,1210,109,306,130,7,173
37,TIMIŞ,"CĂMINUL CULTURAL GRABAŢ",453,LENAUHEIM,157451,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:21:54",1726,1700,0,11,15,776,750,0,11,15,726,37,1800,1024,145,375,79,10,117
37,TIMIŞ,"CĂMINUL CULTURAL LENAUHEIM",451,LENAUHEIM,157451,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:02:33",1595,1554,5,5,31,769,733,0,5,31,729,40,1800,1031,84,269,91,26,259
