precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GACHE GEORGE-AURELIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","LEFTER GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi"
18,GALAŢI,"GRĂDINIȚA BĂNEASA",233,BĂNEASA,75686,2,PART,PRCNCT,P,P_SV,"2024-06-15 10:19:49",1180,1122,0,13,45,696,638,0,13,45,672,24,1200,504,521,151
18,GALAŢI,"SCOALA PRIMARA ”ION VODA CEL VITEAZ ROSCANI",234,BĂNEASA,75686,5,PART,PRCNCT,P,P_SV,"2024-06-15 10:38:52",458,438,0,5,15,275,255,0,5,15,265,10,564,289,194,71
