precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA NAȚIONAL ȚĂRĂNISTĂ-voturi"
38,TULCEA,"ȘCOALA GIMNAZIALĂ BEIDAUD",81,BEIDAUD,159847,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:05:08",435,421,1,4,9,272,259,0,4,9,265,7,464,192,104,157,4
38,TULCEA,"ȘCOALA GIMNAZIALĂ NEATÂRNAREA",82,BEIDAUD,159847,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:42:05",372,364,0,5,3,192,184,0,5,3,174,18,398,206,30,105,39
38,TULCEA,"ȘCOALA GIMNAZIALĂ SARIGHIOL DE DEAL",83,BEIDAUD,159847,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:28:58",473,463,0,4,6,272,262,0,4,6,254,18,523,251,52,194,8
