precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
39,VASLUI,"SALA MULTIFUNCŢIONALĂ SAT SUSENI",197,BĂCANI,162327,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:26:10",328,320,0,5,3,190,182,0,5,3,184,6,400,210,95,16,54,8,4,6,1,0
39,VASLUI,"SALA MULTIFUNCŢIONALĂ SAT VULPĂȘENI",198,BĂCANI,162327,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:32:08",167,162,0,5,0,89,84,0,5,0,87,2,182,93,39,26,11,2,7,2,0,0
39,VASLUI,"ŞCOALA GIMNAZIALA NR. 1 SAT BĂCANI",194,BĂCANI,162327,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:06:53",1058,1040,1,10,7,561,544,0,10,7,527,34,1100,539,273,93,111,17,19,9,3,2
39,VASLUI,"ŞCOALA PRIMARĂ",195,BĂCANI,162327,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:44:38",462,452,1,7,2,268,259,0,7,2,259,9,500,232,148,17,72,8,4,3,1,6
39,VASLUI,"ŞCOALA PRIMARA SAT DRUJEŞTI",196,BĂCANI,162327,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:16:46",372,368,0,3,1,220,216,0,3,1,213,7,400,180,68,56,51,6,27,5,0,0
