precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BETERINGHE RADU-TEODOR-PARTIDUL SOCIAL DEMOCRAT-voturi","GHEORGHIŢĂ ADRIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GEMĂNAŞ TOADER-PARTIDUL NAȚIONAL LIBERAL-voturi"
41,VRANCEA,"INTERNAT SCOLAR",230,NEREJU,176944,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:10:16",586,575,0,11,0,363,352,0,11,0,348,15,631,268,195,13,140
41,VRANCEA,"SCOALA ” DIMITRIE GUSTI” NEREJU",228,NEREJU,176944,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:26:56",1388,1379,0,9,0,865,856,0,9,0,842,23,1521,656,524,26,292
41,VRANCEA,"SCOALA GIMNAZIALA NEREJU-MIC",229,NEREJU,176944,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:35:55",1528,1511,0,17,0,985,968,0,17,0,938,47,1667,682,453,34,451
