precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
10,BUZĂU,"ŞCOALA GIMNAZIALĂ TACHE ŞI ECATERINA TOCILESCU",410,"VINTILĂ VODĂ",50228,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:01:57",1233,1191,0,9,33,778,736,0,9,33,756,22,1311,533,14,538,82,47,75
10,BUZĂU,"ŞCOALA PRIMARĂ SAT COCA ANTIMIREŞTI",411,"VINTILĂ VODĂ",50228,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:49:03",171,162,0,7,2,105,96,0,7,2,101,4,186,81,0,71,16,3,11
10,BUZĂU,"ŞCOALA PRIMARĂ SAT NICULEŞTI",412,"VINTILĂ VODĂ",50228,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:09:48",899,869,1,10,19,523,494,0,10,19,510,13,1000,477,40,286,109,37,38
