precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","SUCIU IOAN-voturi"
28,MUREŞ,"CĂMINUL CULTURAL BOZENI",318,CORUNCA,120487,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:55:09",132,127,0,1,4,84,79,0,1,4,84,0,160,76,80,3,1,0,0,0
28,MUREŞ,"CĂMINUL CULTURAL CORUNCA",316,CORUNCA,120487,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:59:41",1541,1512,6,3,20,824,800,1,3,20,771,37,1660,827,590,83,45,30,10,13
28,MUREŞ,"CĂMINUL CULTURAL CORUNCA",317,CORUNCA,120487,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:58:38",1729,1696,14,13,6,1076,1057,0,13,6,1062,10,1833,759,331,241,278,96,94,22
