precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi"
3,ARGEŞ,"CĂMIN CULTURAL MOŞOAIA",398,MOŞOAIA,17496,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:26:14",1469,1464,1,4,0,857,853,0,4,0,835,22,1600,743,276,67,275,217
3,ARGEŞ,"RESTAURANT CASTEL",402,MOŞOAIA,17496,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:44:36",1560,1542,5,13,0,777,764,0,13,0,756,21,1722,945,260,74,251,171
3,ARGEŞ,"ŞCOALA CU CLASELE I-IV CIOCĂNĂI",399,MOŞOAIA,17496,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:33:17",578,573,0,5,0,313,308,0,5,0,307,6,625,306,50,92,117,48
3,ARGEŞ,"ŞCOALA CU CLASELE I-IV SMEURA",401,MOŞOAIA,17496,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 18:24:42",1621,1610,2,8,1,887,878,0,8,1,870,17,1750,863,159,80,522,109
3,ARGEŞ,"ŞCOALA CU CLASELE I-VIII HINŢEŞTI",400,MOŞOAIA,17496,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:43:38",1095,1089,0,5,1,628,622,0,5,1,609,19,1200,572,119,54,270,166
