precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DOLHA NICOLAE-PARTIDUL NAȚIONAL LIBERAL-voturi","ROMAN-SCHMIDT PETRU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BĂNULESCU IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
2,ARAD,"CĂMINUL CULTURAL TISA NOUĂ",263,FÂNTÂNELE,9280,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:09:33",855,847,1,4,3,524,516,1,4,3,509,15,930,406,385,21,103
2,ARAD,"GRĂDINIȚA CU PROGRAM PRELUNGIT FÂNTÂNELE",262,FÂNTÂNELE,9280,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:08:53",1202,1192,1,6,3,682,673,0,6,3,667,15,1300,618,522,39,106
2,ARAD,"PRIMĂRIA COMUNEI FÂNTÂNELE",261,FÂNTÂNELE,9280,3,PART,PRCNCT,P,P_SV,"2024-06-10 10:36:50",1108,1094,1,2,11,633,620,0,2,11,618,15,1220,587,497,46,75
