precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi"
1,ALBA,"CĂMINUL CULTURAL AVRAM IANCU",198,"AVRAM IANCU",2577,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:13:18",593,556,3,12,22,402,368,0,12,22,386,15,620,219,41,96,172,66,9,2
1,ALBA,"ŞCOALA PRIMARĂ I-IV TÎRSA",199,"AVRAM IANCU",2577,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:31:55",610,589,0,4,17,470,449,0,4,17,454,16,655,185,63,62,174,106,2,47
