precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ROMÂNI PENTRU ROMÂNIA-voturi"
31,PRAHOVA,"GRĂDINIŢA CU PROGRAM NORMAL PĂCUREŢI",491,PĂCUREŢI,134336,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:49:53",1021,934,0,60,27,735,657,0,60,18,712,23,1001,266,236,250,166,9,51
31,PRAHOVA,"ŞCOALA GIMNAZIALĂ",492,PĂCUREŢI,134336,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:16:05",634,616,1,11,6,431,413,1,11,6,411,20,697,266,115,144,124,20,8
