precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi"
6,BISTRIŢA-NĂSĂUD,"CASA DE CULTURĂ SIGMIR",53,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:21:43",961,951,3,7,0,482,475,0,7,0,477,5,1050,568,181,184,52,17,4,9,16,1,13
6,BISTRIŢA-NĂSĂUD,"CENTRUL CULTURAL MUNICIPAL GEORGE COȘBUC",1,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:34:04",1332,1301,4,21,6,641,614,0,21,6,619,20,1650,1009,191,249,49,39,15,4,42,6,24
6,BISTRIŢA-NĂSĂUD,"COLEGIUL NAŢIONAL ”ANDREI MUREŞANU”",23,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:58:40",1304,1281,0,21,2,596,575,0,21,0,576,8,1400,816,184,228,43,27,9,12,37,4,32
6,BISTRIŢA-NĂSĂUD,"COLEGIUL NAŢIONAL LIVIU REBREANU",26,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:03:59",1274,1264,3,7,0,533,526,0,7,0,521,12,1328,795,170,208,43,31,8,7,27,5,22
6,BISTRIŢA-NĂSĂUD,"COLEGIUL NAȚIONAL LIVIU REBREANU",25,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:58:28",1006,995,0,10,1,417,406,0,10,1,410,7,1105,688,136,171,32,16,8,2,29,3,13
6,BISTRIŢA-NĂSĂUD,"COLEGIUL NAŢIONAL ”LIVIU REBREANU”, ŞCOALA PRIMARĂ",27,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:15:49",1211,1203,2,6,0,527,521,0,6,0,510,7,1316,788,174,198,45,19,11,5,43,3,12
6,BISTRIŢA-NĂSĂUD,"COLEGIUL TEHNIC ”INFOEL”",47,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:13:58",1866,1835,16,14,1,836,820,1,14,1,824,12,2050,1214,309,334,48,31,15,6,56,8,17
6,BISTRIŢA-NĂSĂUD,"GRĂDINIȚA CU PROGRAM NORMAL ”DIMITRIE COJOCARU” SLĂTINIŢA",54,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:55:51",631,621,1,9,0,256,247,0,9,0,246,10,700,444,129,80,27,2,0,0,7,0,1
6,BISTRIŢA-NĂSĂUD,"GRĂDINIŢA CU PROGRAM NORMAL GHINDA",51,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:04:24",683,673,3,7,0,321,314,0,7,0,312,9,750,429,219,50,21,2,1,5,10,2,2
6,BISTRIŢA-NĂSĂUD,"GRĂDINIŢA CU PROGRAM NORMAL NR. 10",12,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:30:45",1271,1258,2,10,1,579,568,0,10,1,571,8,1350,771,173,232,51,67,4,4,30,1,9
