precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VICOL VALERIU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","VÎNĂTORU CORNELIU-PARTIDUL NAȚIONAL LIBERAL-voturi","MURARIU VOICU-PARTIDUL SOCIAL DEMOCRAT-voturi","IFRIM MIHAI-PARTIDUL S.O.S. ROMÂNIA-voturi","SIMION IOAN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","URSACHE SVETLANA-voturi"
7,BOTOŞANI,"SCOALA CU CLASELE I-VIII BREHUIESTI(CORPUL B)",416,VLĂDENI,39738,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:50:16",1469,1468,0,1,0,596,595,0,1,0,560,36,1600,1004,61,155,240,25,33,46
7,BOTOŞANI,"SCOALA CU CLASELE I-VIII MANDRESTI",417,VLĂDENI,39738,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:11:13",1078,1075,0,1,2,485,482,0,1,2,460,25,1205,720,112,55,219,41,18,15
7,BOTOŞANI,"SCOALA CU CLASELE I-VIII VLADENI(CORP NOU)",415,VLĂDENI,39738,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:25:28",1486,1475,0,3,8,742,731,0,3,8,709,33,1613,871,39,316,297,28,8,21
