precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NECHITA ION-PARTIDUL NAȚIONAL LIBERAL-voturi","ODOR CONSTANTIN-ADRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi"
29,NEAMŢ,"CAMINUL CULTURAL",445,TAZLĂU,124616,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:50:52",1187,1147,2,5,33,673,633,2,5,33,640,33,1300,627,371,269
29,NEAMŢ,"SCOALA GIMNAZIALA ”I.I. MIRONESCU”",444,TAZLĂU,124616,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:16:10",1015,998,1,1,15,549,535,0,1,13,523,26,1100,551,260,263
