precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MAZILU NICOLAE-voturi"
3,ARGEŞ,"CLUBUL TINERETULUI PRIBOIENI",440,PRIBOIENI,18242,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:54:22",1502,1473,4,2,23,1049,1024,0,2,23,1020,29,1600,551,203,692,92,33
3,ARGEŞ,"ȘCOALA GIMNAZIALĂ ”C. RĂDULESCU CODIN”",439,PRIBOIENI,18242,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:35:50",1383,1353,0,4,26,955,925,0,4,26,924,31,1541,586,202,640,71,11
