precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CRISTEA RADU-PARTIDUL SOCIAL DEMOCRAT-voturi","FERNEA MARIUS-ROGER-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","POP GEORGEL-VLĂDUŢ-UNIUNEA SALVAȚI ROMÂNIA-voturi","PETCAŞ ADRIANA-MONICA-PARTIDUL NAȚIONAL LIBERAL-voturi","FARCAS RODICA-MARIA-FORȚA DREPTEI-voturi"
32,"SATU MARE","CAMINUL CULTURAL VALEA VINULUI",325,"VALEA VINULUI",139287,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:34:43",626,595,1,5,25,407,377,0,5,25,390,17,683,276,206,40,98,29,17
32,"SATU MARE","SCOALA CU CLASELE I-IV MARIUS",326,"VALEA VINULUI",139287,1,PROV,PRCNCT,P,P_SV,"2024-06-10 00:36:16",189,169,0,13,7,117,97,0,13,7,109,8,200,83,59,9,22,17,2
32,"SATU MARE","SCOALA CU CLASELE I-IV ROSIORI",327,"VALEA VINULUI",139287,1,PROV,PRCNCT,P,P_SV,"2024-06-10 01:37:47",323,307,1,8,7,193,177,1,8,7,184,9,350,157,43,39,51,45,6
32,"SATU MARE","SCOALA CU CLASELE I-IV SII",328,"VALEA VINULUI",139287,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:29:27",458,444,0,9,5,201,187,0,9,5,185,16,500,299,105,33,19,24,4
