precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PANAIT TEODOR-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NEDELEA DAN-ALEXANDRU-PARTIDUL NAȚIONAL LIBERAL-voturi","BOJIN MIHAI-PARTIDUL SOCIAL DEMOCRAT-voturi"
17,DOLJ,"PRIMĂRIA MĂCEŞU DE JOS",399,"MĂCEŞU DE JOS",72980,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:26:01",805,718,0,66,21,573,486,0,66,21,552,21,784,211,15,68,469
17,DOLJ,"ŞCOALA SĂPATA",400,"MĂCEŞU DE JOS",72980,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:52:37",263,239,0,16,8,196,172,0,16,8,189,7,300,104,6,18,165
