precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"HREHORCIUC GHEORGHE-PARTIDUL SOCIAL DEMOCRAT-voturi","BODNARESCU LIVIU-PARTIDUL NAȚIONAL LIBERAL-voturi","BACIU CRISTINA-PARTIDUL S.O.S. ROMÂNIA-voturi","RÎPANU GHEORGHE-MARIN-PARTIDUL PATRIOȚILOR-voturi"
35,SUCEAVA,"CĂMINUL CULTURAL VOIEVODEASA",477,SUCEVIŢA,150418,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:29:10",1137,1100,0,19,18,681,644,0,19,18,651,30,1214,533,108,473,5,65
35,SUCEAVA,"SCOALA GIMNAZIALĂ DIMITRIE VATAMANIUC",476,SUCEVIŢA,150418,1,PROV,PRCNCT,P,P_SV,"2024-06-10 10:08:40",1519,1466,4,17,32,777,724,4,17,32,761,16,1600,823,307,397,26,31
