precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TURC IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi","LAZANY GABRIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","DOBRANIŞ GEORGETA-RODICA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","TONIUC ALEXANDRU-MARIAN-PARTIDUL NAȚIONAL ȚĂRĂNESC MANIU-MIHALACHE-voturi","STAN CĂLIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
6,BISTRIŢA-NĂSĂUD,"CASA DE CULTURĂ SIGMIR",53,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:21:43",961,951,3,7,0,482,475,0,7,0,477,4,1050,569,215,206,33,5,18
6,BISTRIŢA-NĂSĂUD,"CENTRUL CULTURAL MUNICIPAL GEORGE COȘBUC",1,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 13:34:04",1332,1301,4,21,6,641,614,0,21,6,626,15,1650,1009,244,313,30,23,16
6,BISTRIŢA-NĂSĂUD,"COLEGIUL NAŢIONAL ”ANDREI MUREŞANU”",23,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:58:38",1304,1281,0,21,2,596,575,0,21,0,575,8,1400,817,260,256,30,9,20
6,BISTRIŢA-NĂSĂUD,"COLEGIUL NAŢIONAL LIVIU REBREANU",26,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:03:59",1274,1264,3,7,0,533,526,0,7,0,525,8,1333,800,216,230,40,18,21
6,BISTRIŢA-NĂSĂUD,"COLEGIUL NAȚIONAL LIVIU REBREANU",25,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:58:28",1006,995,0,10,1,417,406,0,10,1,411,6,1102,685,176,183,18,8,26
6,BISTRIŢA-NĂSĂUD,"COLEGIUL NAŢIONAL ”LIVIU REBREANU”, ŞCOALA PRIMARĂ",27,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:15:49",1211,1203,2,6,0,527,521,0,6,0,509,12,1316,770,232,199,20,25,33
6,BISTRIŢA-NĂSĂUD,"COLEGIUL TEHNIC ”INFOEL”",47,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:13:58",1866,1835,16,14,1,836,820,1,14,1,832,4,2050,1214,350,381,38,26,37
6,BISTRIŢA-NĂSĂUD,"GRĂDINIȚA CU PROGRAM NORMAL ”DIMITRIE COJOCARU” SLĂTINIŢA",54,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:55:51",631,621,1,9,0,256,247,0,9,0,243,13,700,444,138,81,18,1,5
6,BISTRIŢA-NĂSĂUD,"GRĂDINIŢA CU PROGRAM NORMAL GHINDA",51,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:04:24",683,673,3,7,0,321,314,0,7,0,311,10,750,429,243,48,12,2,6
6,BISTRIŢA-NĂSĂUD,"GRĂDINIŢA CU PROGRAM NORMAL NR. 10",12,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:30:44",1271,1258,2,10,1,579,568,0,10,1,571,8,1350,771,240,265,35,4,27
6,BISTRIŢA-NĂSĂUD,"GRĂDINIŢA CU PROGRAM NORMAL NR. 16",35,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:54:09",561,547,3,11,0,558,547,0,11,0,547,11,1300,742,241,254,23,9,20
6,BISTRIŢA-NĂSĂUD,"GRĂDINIŢA CU PROGRAM NORMAL NR. 7",44,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:28:37",962,956,1,4,1,469,464,0,4,1,459,10,1050,581,221,188,21,15,14
6,BISTRIŢA-NĂSĂUD,"GRĂDINIŢA CU PROGRAM NORMAL NR. 7",43,"MUNICIPIUL BISTRIŢA",32394,1,PART,PRCNCT,P,P_SV,"2024-06-10 14:13:47",1147,1118,0,29,0,602,573,0,29,0,593,9,1254,652,250,274,19,17,33
