precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BĂLŢAT VASILE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNGUREANU IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi","MANEA MARIANA-UNIUNEA SALVAȚI ROMÂNIA-voturi","PUIA TEODORA-PARTIDUL SOCIAL DEMOCRAT-voturi"
9,BRĂILA,"CĂMIN CULTURAL",268,UNIREA,44355,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:16:15",1039,1023,0,11,5,650,634,0,11,5,622,28,1122,472,14,137,36,435
9,BRĂILA,"CĂMIN CULTURAL",267,UNIREA,44355,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:34:19",855,820,0,19,16,578,543,0,19,16,560,9,951,382,1,135,3,421
