precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
41,VRANCEA,"GRĂDINIȚA CU PROGRAM NORMAL GOLOGANU",178,GOLOGANU,178938,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:29:08",1136,1115,0,8,13,647,626,0,8,13,614,33,1239,592,306,153,74,36,30,15
41,VRANCEA,"ȘCOALA GIMNAZIALĂ ”PROFESOR GENERAL GHEORGHE GHEORGHIU” GOLOGANU",179,GOLOGANU,178938,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:46:42",1374,1355,0,6,13,854,835,0,6,13,804,50,1504,650,397,194,118,45,36,14
