precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"COCÎRLĂ MIHĂIŢĂ-PARTIDUL SOCIAL DEMOCRAT-voturi","PREDAN ELENA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CIOPONEA VIRGIL-PARTIDUL NAȚIONAL LIBERAL-voturi","FILIP MIHAI-UNIUNEA SALVAȚI ROMÂNIA-voturi"
17,DOLJ,"GRADINITA IZVOARE",383,IZVOARE,72882,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:42:34",974,899,0,36,39,725,650,0,36,39,691,2,975,252,350,36,178,127
17,DOLJ,"SCOALA CLASELE I-IV",384,IZVOARE,72882,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:00:28",267,239,0,16,12,172,144,0,16,12,172,0,292,120,151,3,8,10
