precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
4,BACĂU,"ŞCOALA CU CLASELE I-IV ODOBEŞTI",465,ODOBEŞTI,26353,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:56:53",367,347,0,16,4,233,213,0,16,4,214,19,400,167,4,92,55,3,60
4,BACĂU,"ŞCOALA CU CLASELE I-VIII CIUTUREŞTI",466,ODOBEŞTI,26353,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:32:01",632,610,1,18,3,391,370,0,18,3,357,34,700,309,47,232,41,30,7
4,BACĂU,"ŞCOALA CU CLASELE I-VIII TISA SILVESTRI",467,ODOBEŞTI,26353,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:23:55",940,883,0,48,9,601,544,0,48,9,584,17,900,299,55,392,103,18,16
