precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi"
26,MARAMUREŞ,"CASA ORĂŞENEASCĂ DE CULTURĂ",187,"ORAŞ TÂRGU LĂPUŞ",106817,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:56:10",1459,1440,4,14,1,794,779,0,14,1,784,10,1663,869,70,260,232,32,115,34,28,13
26,MARAMUREŞ,"CENTRUL ȘCOLAR PENTRU EDUCAȚIE INCLUZIVĂ",188,"ORAŞ TÂRGU LĂPUŞ",106817,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:45:12",1426,1399,0,12,15,804,777,0,12,15,790,14,1500,696,70,256,289,12,102,23,19,19
26,MARAMUREŞ,"FOSTUL DISPENSAR",203,"ORAŞ TÂRGU LĂPUŞ",106817,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:12:59",221,212,0,7,2,133,124,0,7,2,130,3,300,167,2,62,44,5,7,6,2,2
26,MARAMUREŞ,GRĂDINIŢĂ,202,"ORAŞ TÂRGU LĂPUŞ",106817,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:38:51",593,587,0,6,0,334,328,0,6,0,323,11,600,266,0,110,162,8,25,6,4,8
26,MARAMUREŞ,GRĂDINIȚA,199,"ORAŞ TÂRGU LĂPUŞ",106817,3,PART,PRCNCT,CL,CL_SV,"2024-06-14 14:02:31",629,620,1,8,0,349,341,0,8,0,341,8,700,351,4,144,151,11,21,0,4,6
26,MARAMUREŞ,GRĂDINIȚA,201,"ORAŞ TÂRGU LĂPUŞ",106817,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 18:47:07",1225,1217,1,4,3,624,617,0,4,3,604,20,1400,776,5,259,257,22,36,8,11,6
26,MARAMUREŞ,"LICEUL TEORETIC „PETRU RAREȘ”",189,"ORAŞ TÂRGU LĂPUŞ",106817,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 19:43:51",1814,1788,1,12,13,1070,1045,0,12,13,1040,27,1900,830,104,353,310,34,125,42,42,30
26,MARAMUREŞ,"ŞCOALA GENERALĂ",197,"ORAŞ TÂRGU LĂPUŞ",106817,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:39:26",68,58,0,10,0,36,26,0,10,0,34,2,100,64,4,16,7,1,3,0,3,0
26,MARAMUREŞ,"ŞCOALA GENERALĂ",190,"ORAŞ TÂRGU LĂPUŞ",106817,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 14:43:25",266,261,0,5,0,127,122,0,5,0,123,4,300,173,8,27,56,6,16,4,2,4
26,MARAMUREŞ,"ŞCOALA GENERALĂ",196,"ORAŞ TÂRGU LĂPUŞ",106817,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:17:05",199,192,0,7,0,98,91,0,7,0,94,4,200,102,1,38,40,3,6,3,1,2
26,MARAMUREŞ,"ŞCOALA GENERALĂ",198,"ORAŞ TÂRGU LĂPUŞ",106817,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:36:37",203,196,0,7,0,110,103,0,7,0,107,3,300,190,1,75,15,4,5,3,3,1
26,MARAMUREŞ,"ŞCOALA GENERALĂ",195,"ORAŞ TÂRGU LĂPUŞ",106817,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:53:26",176,171,0,5,0,92,87,0,5,0,89,3,200,108,9,20,43,5,8,2,1,1
26,MARAMUREŞ,"ŞCOALA GENERALĂ",200,"ORAŞ TÂRGU LĂPUŞ",106817,3,PART,PRCNCT,CL,CL_SV,"2024-06-14 14:07:12",492,480,0,9,3,270,258,0,9,3,266,4,500,230,5,108,118,5,22,0,1,7
26,MARAMUREŞ,"ŞCOALA GENERALĂ",194,"ORAŞ TÂRGU LĂPUŞ",106817,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:37:29",323,316,0,5,2,177,170,0,5,2,167,10,400,223,1,71,75,1,11,1,5,2
26,MARAMUREŞ,"ŞCOALA GENERALĂ",193,"ORAŞ TÂRGU LĂPUŞ",106817,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:47:56",769,747,2,4,16,416,395,2,4,15,412,4,800,384,259,34,85,2,15,4,11,2
26,MARAMUREŞ,"ŞCOALA GENERALĂ",192,"ORAŞ TÂRGU LĂPUŞ",106817,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:53:36",168,162,0,6,0,105,99,0,6,0,104,1,200,95,4,35,30,4,26,0,5,0
26,MARAMUREŞ,"ŞCOALA GENERALĂ",191,"ORAŞ TÂRGU LĂPUŞ",106817,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 17:53:39",423,386,31,6,0,259,253,0,6,0,254,5,400,141,3,135,63,4,39,4,1,5
