precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ANTOHE MIRELA-STĂNELA-PARTIDUL NAȚIONAL LIBERAL-voturi","BARBU NIŢU-PARTIDUL SOCIAL DEMOCRAT-voturi"
23,IALOMIŢA,"ŞCOALA CRUNŢI",194,REVIGA,94269,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:27:05",327,320,0,7,0,184,177,0,7,0,176,8,354,170,42,134
23,IALOMIŢA,"ŞCOALA REVIGA",193,REVIGA,94269,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:02:13",1018,1005,0,6,7,549,536,0,6,7,533,16,1100,551,153,380
23,IALOMIŢA,"ŞCOALA ROVINE",195,REVIGA,94269,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:42:24",711,694,0,12,5,393,376,0,12,5,380,13,786,393,93,287
