precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ZANVETOR MARIUS-STEFANO-UNIUNEA SALVAȚI ROMÂNIA-voturi","ŞTEFAN BENONIE-PARTIDUL SOCIAL DEMOCRAT-voturi","IOSIF DANIEL-PARTIDUL NAȚIONAL LIBERAL-voturi"
3,ARGEŞ,"CĂMIN CULTURAL VALEA SILIŞTII",201,ANINOASA,13999,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:34:18",501,492,1,3,5,344,336,0,3,5,334,10,556,212,7,129,198
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ BROŞTENI - ANINOASA, CORP B",199,ANINOASA,13999,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:02:33",1226,1188,0,20,18,803,765,0,20,18,786,17,1288,485,6,281,499
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ SLĂNIC",200,ANINOASA,13999,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:07:55",938,903,0,16,19,662,627,0,16,19,661,1,1006,344,10,306,345
