precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL ROMÂNIA MARE-voturi"
28,MUREŞ,"CĂMIN CULTURAL",158,"ORAŞ IERNUT",117827,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:08:59",255,244,2,9,0,114,105,0,9,0,105,9,280,166,30,42,26,1,6,0
28,MUREŞ,"CĂMIN CULTURAL OARBA DE MUREŞ",160,"ORAŞ IERNUT",117827,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:57:28",102,87,4,10,1,57,43,3,10,1,54,3,100,43,10,19,16,1,8,0
28,MUREŞ,"CASA DE CULTURĂ IERNUT",153,"ORAŞ IERNUT",117827,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:06:50",1257,1233,4,11,9,726,706,0,11,9,701,25,1350,624,113,223,164,99,87,15
28,MUREŞ,"GRĂDINIŢA CU PROGRAM NORMAL IERNUT",154,"ORAŞ IERNUT",117827,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:57:55",1080,1065,1,5,9,604,590,0,5,9,590,14,1170,566,102,199,109,114,52,14
28,MUREŞ,"ŞCOALA GIMNAZIALĂ CIPĂU",157,"ORAŞ IERNUT",117827,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:15:00",908,894,0,12,2,528,514,0,12,2,489,39,1000,472,151,130,133,46,17,12
28,MUREŞ,"ŞCOALA GIMNAZIALĂ IERNUT",155,"ORAŞ IERNUT",117827,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 10:15:47",1215,1205,0,7,3,652,642,0,7,3,629,23,1330,678,103,225,173,73,45,10
28,MUREŞ,"ŞCOALA GIMNAZIALĂ IERNUT",156,"ORAŞ IERNUT",117827,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:27:45",1356,1335,0,12,9,757,736,0,12,9,711,46,1480,723,113,231,189,84,85,9
28,MUREŞ,"ŞCOALA GIMNAZIALĂ LECHINŢA",159,"ORAŞ IERNUT",117827,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:34:14",710,703,1,4,2,425,418,1,4,2,391,33,780,356,172,103,99,4,9,4
28,MUREŞ,"ŞCOALA PRIMARĂ SĂLCUD",161,"ORAŞ IERNUT",117827,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:17:04",488,472,0,11,5,245,229,0,11,5,233,12,550,305,72,81,61,2,14,3
28,MUREŞ,"ŞCOALA PRIMARĂ SFÎNTU GHEORGHE",162,"ORAŞ IERNUT",117827,3,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:38:56",330,324,0,6,0,202,196,0,6,0,196,6,360,158,55,80,27,3,22,9
