precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","STROIE CLAUDIU MARIN-voturi"
30,OLT,"GRADINITA FARCASELE",197,FĂRCAŞELE,127019,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:33:05",947,934,0,3,10,557,544,0,3,10,522,33,1030,475,229,148,24,62,59
30,OLT,"GRADINITA FARCASU DE JOS",198,FĂRCAŞELE,127019,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:54:12",1410,1392,1,2,15,863,846,0,2,15,825,38,1550,687,443,245,34,52,51
30,OLT,"SCOALA GIMNAZIALA FARCASELE",199,FĂRCAŞELE,127019,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:55:53",685,676,1,1,7,396,389,0,1,6,378,18,750,354,213,107,29,16,13
30,OLT,"SCOALA GIMNAZIALA HOTARANI",200,FĂRCAŞELE,127019,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:35:42",669,655,1,4,9,394,381,0,4,9,380,14,731,337,223,101,26,28,2
