precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FILIP ANDREI-PARTIDUL NAȚIONAL LIBERAL-voturi"
25,ILFOV,"ŞCOALA GIMNAZIALA NR. 1 MOARA VLASIEI",248,"MOARA VLĂSIEI",104243,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:40:44",1875,1857,0,13,5,990,972,0,13,5,946,44,1998,1008,946
25,ILFOV,"ŞCOALA GIMNAZIALA NR. 2 MOARA VLASIEI",247,"MOARA VLĂSIEI",104243,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:06:42",1910,1896,0,5,9,1033,1019,0,5,9,985,48,2100,1067,985
25,ILFOV,"ŞCOALA GIMNAZIALA NR. 3 ”AL. DIMITRIE GHICA ”",249,"MOARA VLĂSIEI",104243,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:28:56",1614,1605,3,6,0,934,928,0,6,0,905,29,1805,871,905
