precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"FLUTUR GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi","ŞOLDAN GHEORGHE-PARTIDUL SOCIAL DEMOCRAT-voturi","BĂLAN SILVESTRU-RĂDĂUŢI-PARTIDUL S.O.S. ROMÂNIA-voturi","UNGUREANU EMANUEL-DUMITRU-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","SAVA PAULA-PARTIDUL PATRIOȚILOR-voturi"
35,SUCEAVA,"AGENTIA PENTRU PROTECTIA MEDIULUI",34,"MUNICIPIUL SUCEAVA",146263,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 14:30:25",1920,1902,1,17,0,947,930,0,17,0,901,34,2100,1065,336,345,34,137,49
35,SUCEAVA,"AȘEZĂMÂNT CULTURAL",248,CACICA,147526,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 07:33:11",1527,1510,1,2,14,910,894,0,2,14,880,30,1700,790,413,391,27,38,11
35,SUCEAVA,"AȘEZĂMÂNT CULTURAL BASARABI",436,PREUTEŞTI,149968,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:49:33",1392,1386,0,6,0,892,886,0,6,0,874,18,1500,608,423,336,33,65,17
35,SUCEAVA,"ATELIER ZONĂ CFR",43,"MUNICIPIUL SUCEAVA",146263,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:47:35",1549,1537,0,12,0,432,420,0,12,0,414,18,1700,1268,127,153,42,72,20
35,SUCEAVA,"ATENEU DUMBRAVENI",296,DUMBRĂVENI,148426,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:37:57",1822,1814,1,5,2,836,829,0,5,2,807,29,2000,1164,103,602,50,23,29
35,SUCEAVA,"CAMIN CULTURAL",484,ŞCHEIA,146432,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:22:21",194,186,0,8,0,125,117,0,8,0,120,5,200,75,47,46,5,19,3
35,SUCEAVA,"CAMIN CULTURAL",454,"SATU MARE",150196,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:05:40",1188,1181,0,4,3,645,638,0,4,3,610,35,1300,655,264,206,75,48,17
35,SUCEAVA,"CĂMIN CULTURAL",256,CÂRLIBABA,147713,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:12:34",1615,1578,1,3,33,891,854,1,3,33,864,27,1735,844,598,198,35,24,9
35,SUCEAVA,"CĂMIN CULTURAL",487,ŞCHEIA,146432,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 11:11:19",1732,1720,4,8,0,973,965,0,8,0,932,41,1880,907,235,530,36,103,28
35,SUCEAVA,"CĂMIN CULTURAL",486,ŞCHEIA,146432,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:59:28",1725,1717,0,8,0,895,887,0,8,0,840,55,1890,993,278,373,50,110,29
