precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"POPA VALENTIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ROTEA CĂTĂLIN-ŞTEFAN-PARTIDUL SOCIAL DEMOCRAT-voturi","TEODOSESCU MĂDĂLIN-ADY-PARTIDUL NAȚIONAL LIBERAL-voturi","NEDELCU CORNEL-DĂNUŢ-PARTIDUL PATRIOȚILOR-voturi"
30,OLT,"COLEGIUL TEHNIC",76,"ORAŞ BALŞ",125418,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:44:21",1345,1325,0,16,4,574,554,0,16,4,541,13,1462,908,9,345,153,34
30,OLT,"COLEGIUL TEHNIC",77,"ORAŞ BALŞ",125418,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:50:58",1348,1327,1,17,3,595,575,0,17,3,563,29,1465,873,25,366,154,18
30,OLT,"GRADINITA CU PROGRAM NORMAL NR 1",75,"ORAŞ BALŞ",125418,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:44:35",1141,1115,1,22,3,479,455,0,22,2,457,22,1233,754,15,296,136,10
30,OLT,"GRADINITA CU PROGRAM NORMAL NR 1",74,"ORAŞ BALŞ",125418,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:09:52",1296,1278,1,15,2,595,578,0,15,2,570,25,1412,817,20,350,183,17
30,OLT,"LICEUL TEORETIC PETRE PANDREA",70,"ORAŞ BALŞ",125418,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:14:53",1369,1339,0,30,0,641,611,0,30,0,602,39,1486,845,37,372,183,10
30,OLT,"LICEUL TEORETIC PETRE PANDREA",71,"ORAŞ BALŞ",125418,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:32:01",1397,1369,0,26,2,677,649,0,26,2,653,24,1545,868,30,408,201,14
30,OLT,"SCOALA GIMNAZIALĂ ”MIHAIL DRUMES”",73,"ORAŞ BALŞ",125418,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:24:45",1253,1230,2,21,0,586,565,0,21,0,567,19,1397,811,28,345,181,13
30,OLT,"SCOALA GIMNAZIALĂ ”MIHAIL DRUMES”",72,"ORAŞ BALŞ",125418,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:12:56",1609,1589,2,16,2,776,758,0,16,2,743,23,1805,1039,28,489,213,13
30,OLT,"SCOALA GIMNAZIALA NR. 1 BALS",68,"ORAŞ BALŞ",125418,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:44:59",1241,1220,1,15,5,623,603,0,15,5,572,51,1346,672,31,362,172,7
30,OLT,"SCOALA GIMNAZIALĂ NR 2 VIRTINA",67,"ORAŞ BALŞ",125418,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:27:43",1171,1158,0,10,3,618,605,0,10,3,589,29,1283,665,37,364,184,4
30,OLT,"SCOALA GIMNAZIALĂ NR 3 ROMANA",66,"ORAŞ BALŞ",125418,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:25:55",904,889,0,8,7,491,476,0,8,7,475,16,979,488,26,354,89,6
30,OLT,"SCOALA GIMNAZIALA SPECIALA",69,"ORAŞ BALŞ",125418,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:12:43",1693,1675,4,12,2,755,741,0,12,2,667,88,1884,1129,30,467,163,7
30,OLT,"SCOALA GIMNAZIALA TEIS",78,"ORAŞ BALŞ",125418,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:02:01",653,639,0,13,1,383,369,0,13,1,366,17,706,323,19,265,76,6
