county_nce,county_name,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,g1.1,g1.2,g1.3,g4,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-1","PARTIDUL NAȚIONAL LIBERAL-mandate-faza-2","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-1","PARTIDUL SOCIAL DEMOCRAT-mandate-faza-2","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-1","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-mandate-faza-2","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-1","PARTIDUL UMANIST SOCIAL LIBERAL-mandate-faza-2","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-1","ALIANȚA PENTRU UNIREA ROMÂNILOR-mandate-faza-2","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-1","PARTIDUL S.O.S. ROMÂNIA-mandate-faza-2","ALIANŢA PENTRU REFORMĂ ECHITATE SOCIALĂ EMANCIPARE ŞI LIBERTATE-voturi","ALIANŢA PENTRU REFORMĂ ECHITATE SOCIALĂ EMANCIPARE ŞI LIBERTATE-mandate-faza-1","ALIANŢA PENTRU REFORMĂ ECHITATE SOCIALĂ EMANCIPARE ŞI LIBERTATE-mandate-faza-2","TRIFU VASILICA-voturi","TRIFU VASILICA-mandate-faza-1","TRIFU VASILICA-mandate-faza-2","PARTIDUL OAMENILOR TINERI-voturi","PARTIDUL OAMENILOR TINERI-mandate-faza-1","PARTIDUL OAMENILOR TINERI-mandate-faza-2","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL PRO ROMÂNIA-mandate-faza-1","PARTIDUL PRO ROMÂNIA-mandate-faza-2","UNIUNEA SALVAȚI ROMÂNIA-voturi","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-1","UNIUNEA SALVAȚI ROMÂNIA-mandate-faza-2","ALIANȚA PMP - FORȚA DREPTEI-voturi","ALIANȚA PMP - FORȚA DREPTEI-mandate-faza-1","ALIANȚA PMP - FORȚA DREPTEI-mandate-faza-2","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-mandate-faza-1","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-mandate-faza-2","MAVRODIN MARIAN-GHEORGHE-voturi","MAVRODIN MARIAN-GHEORGHE-mandate-faza-1","MAVRODIN MARIAN-GHEORGHE-mandate-faza-2","PANĂ VICTOR-voturi","PANĂ VICTOR-mandate-faza-1","PANĂ VICTOR-mandate-faza-2","CONSTANTIN GEORGICĂ-voturi","CONSTANTIN GEORGICĂ-mandate-faza-1","CONSTANTIN GEORGICĂ-mandate-faza-2"
12,CĂLĂRAŞI,SOHATU,105222,1,FINAL,UAT,CL,CL_CE,"2024-06-11 16:48:43",1867,1792,0,45,30,1296,1221,0,45,30,1225,71,1972,676,61,85,98,111,684,6,0,541,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CĂLĂRAŞI,ŞOLDANU,105384,3,FINAL,UAT,CL,CL_CE,"2024-06-20 15:24:54",2504,2415,0,38,51,1739,1650,0,38,51,1628,111,2707,968,81,113,130,113,435,3,1,948,8,0,0,0,0,0,0,0,94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0
12,CĂLĂRAŞI,SPANŢOV,105259,2,FINAL,UAT,CL,CL_CE,"2024-06-13 12:27:31",3587,3528,1,20,38,2155,2096,1,20,38,2052,93,3919,1774,102,143,164,157,1461,9,0,464,2,1,0,0,0,0,0,0,127,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CĂLĂRAŞI,"ŞTEFAN CEL MARE",94562,1,FINAL,UAT,CL,CL_CE,"2024-06-10 14:33:39",2723,2642,0,4,77,1420,1339,0,4,77,1391,29,2932,1512,69,97,111,107,971,9,0,228,2,0,0,0,0,0,0,0,192,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CĂLĂRAŞI,"ŞTEFAN VODĂ",94580,1,FINAL,UAT,CL,CL_CE,"2024-06-10 11:46:58",1893,1804,2,35,52,1226,1139,0,35,52,1177,49,1985,759,58,82,94,107,178,1,1,914,8,0,0,0,0,0,0,0,85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CĂLĂRAŞI,"TĂMĂDĂU MARE",105455,1,FINAL,UAT,CL,CL_CE,"2024-06-10 12:16:12",1982,1899,0,68,15,1300,1217,0,68,15,1252,48,2107,807,62,87,100,113,324,2,1,818,7,0,0,0,0,0,0,0,110,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CĂLĂRAŞI,ULMENI,105605,1,FINAL,UAT,CL,CL_CE,"2024-06-10 13:33:29",3774,3696,4,56,18,2296,2221,1,56,18,2192,51,4118,1875,109,153,175,157,1015,6,0,1038,6,1,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CĂLĂRAŞI,ULMU,94606,1,FINAL,UAT,CL,CL_CE,"2024-06-10 10:08:33",1027,914,0,53,60,725,612,0,53,60,710,15,1052,327,35,49,56,78,113,1,0,597,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CĂLĂRAŞI,UNIREA,94651,1,FINAL,UAT,CL,CL_CE,"2024-06-10 11:28:58",2327,2137,0,97,93,1630,1440,0,97,93,1588,42,2463,833,79,111,127,144,1180,8,0,408,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CĂLĂRAŞI,VÂLCELELE,94731,1,FINAL,UAT,CL,CL_CE,"2024-06-10 08:47:30",1355,1218,1,15,121,746,611,0,15,120,709,37,1478,732,35,49,56,64,0,0,0,709,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CĂLĂRAŞI,"VALEA ARGOVEI",105712,1,FINAL,UAT,CL,CL_CE,"2024-06-10 09:50:07",1803,1675,0,71,57,1249,1121,0,71,57,1192,56,1940,692,59,83,95,103,57,0,0,802,7,1,0,0,0,0,0,0,266,2,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CĂLĂRAŞI,VASILAŢI,105829,2,FINAL,UAT,CL,CL_CE,"2024-06-12 18:34:58",3370,3164,0,169,37,2161,1955,0,169,37,2066,95,3490,1329,103,144,165,152,284,1,1,1215,7,1,488,3,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,CĂLĂRAŞI,"VLAD ŢEPEŞ",94768,1,FINAL,UAT,CL,CL_CE,"2024-06-10 07:39:49",1616,1519,1,26,70,1048,951,1,26,70,1022,26,1700,652,51,71,81,89,214,2,0,773,8,1,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
