precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MĂRAN MARIUS-MAXIM-DANIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","MIHAILESCU PETRU-PARTIDUL SOCIAL DEMOCRAT-voturi","BOB IONEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","SERACIN PETRU-FLORIN-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi"
11,CARAŞ-SEVERIN,"CLUBUL TINERETULUI",178,BOLVAŞNIŢA,51546,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:52:53",774,735,0,21,18,572,533,0,21,18,564,8,808,236,203,167,158,36
11,CARAŞ-SEVERIN,"CLUBUL TINERETULUI",177,BOLVAŞNIŢA,51546,2,PART,PRCNCT,P,P_SV,"2024-06-10 06:09:53",382,363,0,5,14,265,260,0,5,0,263,2,397,132,161,44,56,2
