precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi","PARTIDUL PRO ROMÂNIA-voturi"
33,SĂLAJ,"CAMINUL CULTURAL CRISTUR-CRISENI",132,CRIŞENI,140823,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:06:15",448,429,0,7,12,293,274,0,7,12,292,1,500,207,205,11,6,56,5,0,3,0,6
33,SĂLAJ,"ȘCOALA GIMNAZIALĂ ” VASILE BREBAN ”” CRIȘENI",131,CRIŞENI,140823,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 05:44:52",1691,1633,0,36,22,1210,1152,0,36,22,1191,19,1735,525,30,354,34,484,78,68,8,64,71
33,SĂLAJ,"ȘCOALA PRIMARĂ GÎRCEIU",133,CRIŞENI,140823,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:57:04",720,683,3,14,20,459,425,0,14,20,441,18,770,311,82,125,18,124,6,2,80,0,4
